start	end	text
587000	596000	Who am I to deny what the Lord can do
596000	598000	Yes, Jesus
598000	600000	What a God we serve
600000	602000	We're gonna sing a new song
602000	604000	It's called You Keep Hope Alive
604000	605000	It's very easy
605000	607000	So I'm gonna teach you first
607000	610000	But it's all proclaiming the hope that is in Jesus
610000	612000	Because we have hope in Him
612000	614000	Hope to live for tomorrow
614000	616000	Let's stand in this world
616000	618000	Let's sing this
618000	620000	Sing
620000	623000	Day makes me darkest
623000	625000	But your light is greater
625000	627000	You will light our way
627000	632000	God, you will light our way
632000	635000	And with evil it's rising
635000	637000	You're rising higher
637000	639000	With power to save
639000	641000	With power to save
641000	643000	I'm gonna teach you
643000	647000	You keep hope alive
647000	650000	You keep hope alive
650000	653000	From the beginning to when
653000	656000	Your word never fails
656000	660000	You keep hope alive
660000	663000	Because you are alive
663000	669000	Jesus, you are alive
669000	672000	Death had a strong hope
672000	674000	And your light is stronger
674000	675000	You're always strong
675000	678000	Liberator rose up from the red
678000	681000	Anybody believe it today
681000	684000	That the evil is rising
684000	686000	You're rising higher
686000	688000	With power to save
688000	690000	With power to save
690000	691000	Come on, you got that
691000	693000	Come on, let's show it all together
693000	697000	You keep hope alive
697000	700000	You keep hope alive
700000	703000	From the beginning to when
703000	705000	Your word never fails
705000	709000	You keep hope alive
709000	712000	Because you are alive
712000	715000	Jesus, you are alive
715000	717000	With power to save
717000	719000	Death had a strong hope
719000	722000	And your light is stronger
722000	725000	You keep hope alive
725000	728000	Because you're living hope
728000	731000	Because you're breathing this hope
731000	734000	In the brave hope
734000	737000	In the silent hope
737000	740000	For this moment alone
740000	743000	Once you're rising, there is hope
743000	747000	Give the morning hope
747000	750000	In the evening this hope
750000	753000	Because you're living hope
753000	756000	Because you're breathing this hope
756000	759000	In the brave hope
759000	762000	In the silent hope
762000	765000	For this moment alone
765000	768000	For tomorrow
768000	771000	You keep hope alive
771000	774000	You keep hope alive
774000	777000	From the beginning to when
777000	780000	Your word never fails
780000	784000	You keep hope alive
784000	787000	Because you are alive
787000	793000	Jesus, you are still alive
793000	797000	You keep hope alive
797000	800000	You keep hope alive
800000	803000	From the beginning to when
803000	805000	Your word never fails
805000	809000	You keep hope alive
809000	812000	Because you are alive
812000	816000	Jesus, you are alive
816000	821000	You keep hope alive
821000	824000	You keep hope alive
824000	827000	From the beginning to when
827000	830000	Your word never fails
830000	834000	You keep hope alive
834000	837000	Because you are alive
837000	841000	Jesus, you are alive
841000	843000	You're alive
843000	847000	You are alive
847000	851000	Don't you rest in it
851000	855000	I don't have to worry about a thing
855000	860000	Because you're alive
860000	866000	You keep hope alive
866000	870000	You keep my hope alive
870000	873000	In the middle of the storm
873000	876000	You're standing right there with me
876000	881000	In the middle of the fog
881000	887000	You keep hope alive
887000	890000	Thank you, Lord
890000	894000	If my grandma was here and she wouldn't sing it like this
894000	897000	She would say, because she lives
897000	903000	I can face tomorrow
903000	907000	Because Jesus lives
907000	912000	All of my fears, they're gone
915000	918000	Because I know
918000	921000	I know, I know
921000	926000	He holds you in His future
926000	930000	In life
930000	936000	It's worth living just
936000	941000	Because Jesus lives
941000	942000	It's an old song, old song
942000	944000	I'm 33, but I got an old soul
944000	946000	I love those songs, you know
946000	948000	Can I say one more time, just receive it
948000	950000	Receive it, let it encourage your spirit
950000	953000	Back in the black church, we just used to sing songs
953000	955000	When people get excited, because it was the truth
955000	957000	Because He lives
957000	959000	Someone needs to hear that
959000	964000	I can face tomorrow
964000	968000	Because Jesus lives
968000	974000	All of my fears, they are gone
974000	977000	They are gone
977000	981000	Because I know
981000	986000	I know, I know
986000	994000	He holds my future in
994000	997000	Life isn't worth
997000	999000	I don't have to give up
999000	1002000	It's worth living just
1002000	1005000	Because you are my Savior
1005000	1008000	He lives
1008000	1010000	If you know He lives, that's right
1010000	1012000	Give the Lord some praise
1012000	1015000	My life is worth living because He lives
1015000	1019000	Because Jesus lives
1019000	1021000	I'm gonna leave that alone before I start running
1021000	1024000	Welcome to Harbor Point, how y'all doing?
1024000	1026000	Yeah
1026000	1028000	I know y'all wondering again
1028000	1030000	This man is shouting at me again
1030000	1032000	Y'all black dude, you gotta get off the stage
1032000	1035000	Y'all, hey, I love you too
1035000	1036000	I love you too
1036000	1038000	Y'all, I'm so grateful to be here today
1038000	1040000	This is an amazing church, so glad
1040000	1042000	I'm singing with my sister Brittany
1042000	1043000	Who is Kobe's wife
1043000	1045000	And she's singing for the first time
1045000	1047000	In what, four or five years?
1047000	1049000	Jesus
1051000	1054000	Me and Kobe and Brittany, we go way back
1054000	1056000	We got the same alma mater in Ohio
1056000	1058000	And when I got my first job out of college
1058000	1060000	I was living with them in Houston, Texas
1060000	1062000	And they let me live there like a little brother
1062000	1064000	For free, just trying to find my way
1064000	1067000	Somehow, I got myself out to California
1067000	1068000	Because of Kobe
1068000	1070000	And it's cool, like in this moment
1070000	1072000	I've been singing here and there, here and now
1072000	1074000	We're getting to lead and love God together
1074000	1076000	Again, so I'm so grateful for both of you
1076000	1078000	Love you, Kobe, don't y'all love Kobe?
1078000	1081000	I ain't gonna say nothing smart this time
1081000	1083000	Alright, well, I love you too
1083000	1085000	And why don't you tell some people around you
1085000	1087000	I love you, and then you may have a seat
1088000	1089000	Okay
1109000	1111000	Hey everyone, thanks for joining us today
1111000	1113000	We're so glad you're here
1113000	1117000	At Harbor Point, giving is more than just a financial transaction
1117000	1119000	It's part of our worship
1119000	1123000	It's a tangible expression of our devotion and gratitude to God
1123000	1126000	Demonstrating that our hearts are centered on Him
1126000	1130000	Each week, we bring our offerings as an expression of our commitment
1130000	1133000	To God's work in and through His Church
1133000	1135000	Whether this is your first time giving
1135000	1137000	Or you're continuing your giving
1137000	1141000	Please take a look at the various ways you can contribute
1141000	1143000	Thank you for your generosity
1143000	1146000	We're thrilled to continue our summer series
1146000	1148000	At the Movies
1148000	1151000	This year, you can enjoy At the Movies at two locations
1151000	1155000	The Regency Theatre in San Juan on Sundays at 10 a.m.
1155000	1158000	And at Harbor Point for our regular weekend services
1158000	1160000	And don't forget Encore
1160000	1163000	Bringing our At the Movies experience to Regency Theatre
1163000	1166000	On Thursday nights at 6.30 p.m.
1166000	1171000	It's a fantastic opportunity to invite your friends, neighbors, and coworkers
1173000	1175000	If you've been a part of Harbor Point for a while
1175000	1180000	You've heard us say that every good thing that we do is done through great volunteers
1180000	1182000	And that's you
1182000	1184000	When I think of some of the amazing volunteers
1184000	1186000	I think of Travis and Tina
1186000	1190000	Who served so faithfully on our worship team for Harbor Point's VBS
1190000	1194000	We're so grateful for how they gave their time and talents
1194000	1197000	To pour into the next generation
1197000	1200000	So, if you're already serving at Harbor Point
1200000	1202000	We would love to say thank you
1202000	1206000	Or if you're curious about what it might look like to step into serving
1206000	1209000	We want to invite you to our volunteer rally and lunch
1209000	1212000	Sunday, August 18th at 12.45 p.m.
1212000	1215000	You can register today through our app or online
1215000	1218000	Or through the QR code in front of you
1219000	1225000	Men of Harbor Point Man Camp 2024 is just a few weeks away
1225000	1230000	This transformative retreat will offer a unique opportunity to step away
1230000	1235000	From the daily life and connect with God and other men in our community
1235000	1242000	You'll experience powerful worship, inspiring messages, and build lasting friendships
1242000	1247000	Man Camp will take place at Forest Home from August 23rd to 25th
1248000	1250000	As summer comes to a close
1250000	1253000	Student ministries will be holding their end of summer celebrations
1253000	1255000	Over the next couple weeks
1255000	1260000	High school will be celebrating with a beach bonfire at Dohini on Thursday, August 15th
1260000	1267000	Junior High will be holding their summer celebration here on campus on Thursday, August 22nd
1267000	1271000	For more information and to sign up, just scan the QR codes in front of you
1271000	1273000	Or go online to our website
1274000	1279000	We would love to see you in person for our at the movie series here at Harbor Point Campus
1279000	1281000	Or the Regency Theater
1281000	1286000	But we thank you so much for joining us online today for our series on anxiety called
1286000	1289000	A Back of Angry Beasts
1289000	1291000	Alright, hey everybody, how's it going?
1291000	1296000	Yeah, you guys chose a 10 o'clock service, you love traffic, you feel like it's raining
1296000	1299000	We can get some traffic going to start my week off in the right way
1299000	1301000	Just prepare your heart a little challenge immediately
1301000	1305000	Like, how am I gonna put to test the fact that I just learned something about Jesus
1305000	1308000	But to find a parking lot that's miserable and work my way out of it
1308000	1310000	And you did it, you found it, way to go
1310000	1313000	Glad you guys made it, those of you guys are in the tent, glad you guys made it
1313000	1316000	Those of you in the balcony, I see you guys up there, glad you guys made it as well
1316000	1319000	It is so good to be with you guys and for those of you guys who are online
1319000	1321000	Of course, we say this every single week
1321000	1325000	The best expression of our church is that we get a chance, whenever we get a chance to be together
1325000	1327000	Because the people of our church are amazing, and really you guys are
1327000	1330000	I'm really grateful to be with you guys, so fun
1330000	1333000	If you're, and I know you had to drive today through a puddle
1333000	1336000	You had to activate the all-wheel drive feature on your car
1336000	1339000	And you made it, it's incredible, so great stuff happening, let's get right to it
1339000	1341000	We have a lot to cover as we talk about this
1341000	1345000	By the way, if you're new with us, I'm Jeff and I just want to make sure we're clear
1345000	1348000	We do not have all the answers, this is not a church where we have everything figured out
1348000	1353000	Here's what we know, we're looking at Jesus, we believe we were made with conviction for life with Jesus
1353000	1356000	And that requires everybody to help us along the way
1356000	1360000	Everybody's got a next step in that, so whether you're new, whether you're checking out Jesus
1360000	1364000	You're investigating the church or whatever, we are convinced everybody's got a next step to take
1364000	1367000	Our hope is that you find this to be a community of people who don't have it all together
1367000	1370000	Who are work in progress kind of people doing that stuff
1370000	1373000	So, however that is, grateful that you're here, let's get right to it
1373000	1378000	I want to show you a commercial from 1990, and I just want you to notice, just pay attention as you watch this commercial
1378000	1382000	Some of you will recognize it, and if you recognize it, you're an old person
1382000	1385000	Okay, but, I recognize it, it's fine
1385000	1390000	But I just want you to notice, I want you to take in all of the anxiety in this commercial
1390000	1393000	Check this out, okay, here we go
1393000	1398000	Mary Clary thinks her zipper bags are the best, and will never switch to Gladlock zipper bags
1398000	1399000	That's right, never
1399000	1405000	Mary Clary, what do you say we lock you in this phone booth here, with either your bag filled with angry bees
1405000	1408000	Or a Gladlock bag filled with angry bees
1408000	1412000	See that green color chain seal there, Mayor? That shows you the Gladlock bag is closed
1412000	1414000	Your bag doesn't have a green seal
1414000	1417000	You know, change is good, I'll take the Gladlock zipper bag
1417000	1419000	Just kidding, Mayor
1419000	1422000	When it really counts, don't get mad, get Gladlock zipper bags
1422000	1424000	Okay, some of you remember this commercial
1424000	1430000	Now, what I want to, obviously it's a goofy commercial, and I'll help you by over-analyzing it and taking it way too seriously
1430000	1431000	Okay, that's the gift I bring
1431000	1433000	But, let's look at this for a moment
1433000	1437000	This ad is a question about which bag, it's a question about bag choice
1437000	1441000	Which one has a better seal, the yellow and green seal, or the yellow and blue seal, which makes the green thing
1441000	1445000	Which all of us were convinced we needed back in 1990, and it was so crucial
1445000	1448000	And in fact, as you look at this, this question is about which bag
1448000	1453000	Would you rather have hold the angry bees that we're going to give you
1453000	1459000	And secondly, we're going to put you into this phone booth, which you've somehow agreed to do this
1459000	1464000	The whole premise of this whole thing is based on an incredibly disturbing idea
1464000	1469000	That these people who are making this scenario happen, not only have they got bees to give a person to hold
1469000	1473000	But also they have the power to convince this person they should get into a phone booth
1473000	1475000	And for those of you who don't know what a phone booth is
1475000	1480000	It's like an elevator that doesn't go anywhere, that's all that it is
1480000	1484000	It's the same thing, you're talking on a phone but it's in a tiny little space and nobody else joins you in there
1484000	1489000	But in any event, they have this power to lock this person into a phone booth to which they're agreeing to do
1489000	1492000	And the whole question, the whole, how is this okay with everybody?
1492000	1497000	How is she not like, why don't you just take all the bees and go away, I don't want to do any of this
1497000	1501000	I don't care what bag you use, I'm not doing this, this whole thing is stupid
1501000	1505000	The power dynamic, everything, like I'm going to convince her and we're going to lock her in this thing
1505000	1507000	How is she not just like, no, I'm not doing that
1507000	1510000	The question is, and why are people saying yes to this
1510000	1514000	And the question, over the whole scenario, which again, I realize I'm taking it too seriously
1514000	1518000	The question is, well who's in charge here? Who thought this was a good idea?
1518000	1523000	Who thought this would be okay? Who gets bees and then makes them angry by shaking them and handing them to a person
1523000	1527000	And says, then we're going to lock you in a phone booth, the whole thing is bizarre and absurd
1527000	1529000	And who's in charge here
1529000	1536000	Now that question, who's in charge here, is a critical question when it comes to anxiety
1536000	1538000	Who's in charge here?
1538000	1542000	We're in week two of a series called The Bag of Angry Bees and it's a series on anxiety
1542000	1546000	Because nothing really kind of captures the idea of anxiety like a bag of angry bees
1546000	1550000	But I want to catch us up a little bit, if you weren't here last week and make sure we're all in the same sort of playing fields
1550000	1552000	As we talk about this idea of anxiety
1552000	1557000	One of the things we said last week was this, is that we have to differentiate between fear and anxiety
1557000	1560000	Fear is the response to something that has happened
1560000	1564000	Like bear, person with a knife coming after us, oh my gosh that's fear
1564000	1568000	Anxiety is, what if there's a bear, what if we go there and there's a person with a knife?
1568000	1573000	That's anxiety, are you with me? One's anticipating a thing, one is responding to a particular thing
1573000	1577000	And we said generally what happens when we're talking about anxiety is that the thing that's happening
1577000	1580000	Or even the thing that's a concern is a reasonable concern
1580000	1584000	But in anxiety we take that up to an unreasonable response level
1584000	1587000	Or an unreasonable sort of anticipation level, are you with me?
1587000	1592000	Now, we also said this, it's so important to keep in mind that all anxieties have something in common
1592000	1597000	Every single anxiety is really about having a low tolerance for uncertainty
1597000	1601000	It's about a low tolerance for things that are not certain
1601000	1606000	And for those of us who have anxiety, we know people that do, we know that statistically
1606000	1609000	All of us know someone who is suffering from some form of anxiety
1609000	1613000	It's one in three teenagers and one in five adults, this is the statistics, most current statistics on this
1613000	1618000	Which means you work with people, know people, you live next to someone, you have someone in your house perhaps
1618000	1621000	Or you yourself as someone who has anxiety
1621000	1624000	And as we talk about it, more than likely depending on how you grew up or where you grew up
1624000	1627000	What kind of healthy environment you might have encountered
1627000	1631000	Some of you got the experience of, or at least the impression that if you do have anxiety
1631000	1636000	The best solution is simply as people have told us or we've understood is simply snap out of it
1636000	1639000	Just stop having anxiety, just stop, just don't, just get over it
1639000	1642000	It's a thing, sure, but be really great at doing stuff
1642000	1644000	Compensate by being high functioning
1644000	1647000	And just live in society with this thing and never really deal with it
1647000	1650000	Because you shouldn't have to deal with it, just snap out of it
1650000	1654000	And some of us got the impression, either by our own thinking or because someone told us
1654000	1656000	We were told, here's what you should do
1656000	1659000	Just find some people in the world who have greater anxiety than you
1659000	1662000	And then by comparison, you won't care anymore
1662000	1665000	You know, there's conflict in the Middle East, yeah, it's pretty anxious for those people
1665000	1669000	So I guess I don't get to deal with mine, which never really deals with either of the anxieties
1669000	1670000	In either case
1670000	1674000	And if you're a person who grew up in the church and you talk to a person who's like
1674000	1677000	You know, like you had enough courage to tell a person who's a Jesus follower
1677000	1680000	Who maybe they're a little misguided, but you're like, hey, I just want to let you know
1680000	1683000	I'm suffering from something I think is anxiety or maybe depression
1683000	1685000	And they were like, I have a Bible verse for you
1685000	1688000	Don't be anxious about anything, thank you so much
1689000	1691000	And they're like, well, don't be anxious
1691000	1695000	But in every situation by prayer and petition with Thanksgiving, present your request to God
1695000	1697000	And you're just like, well, I don't know what you're supposed to do with that
1697000	1703000	I guess I'm not supposed to have this, because the solution to having anxieties apparently just don't
1703000	1707000	And if I don't know how to deal with that, then I have to kind of hide it away and deal with it as a shame thing
1707000	1711000	Because I'm not supposed to have it, and so it never really gets dealt with at all
1711000	1716000	The truth is, all of us have some question about anxiety at some level
1716000	1720000	And here's what we know, that if a person with anxiety was to answer this question
1720000	1722000	Who's in charge?
1722000	1726000	A person who's suffering from anxiety, if they were asked the question, hey, who's in charge?
1726000	1729000	What they would say is, and again, I'm paraphrasing, but to say it this way
1729000	1733000	My feelings or my thoughts are in charge, I'm not in charge, not me, I'm not in charge
1733000	1735000	I'm freaking out here
1735000	1739000	And this is where it starts, this is where anxiety begins to become kind of an issue
1739000	1741000	In other words, probably another way to say it is this
1741000	1743000	Anxiety has a double effect
1743000	1746000	There's the anxiety that we feel, and then there's the way we feel about our anxiety
1746000	1751000	To say it this way, I'm freaking out about freaking out
1751000	1753000	And this is why people get stuck in it
1753000	1756000	It's not just that I'm freaking out as if that was enough
1756000	1759000	It's that now I have anxiety about my anxiety
1759000	1762000	Like, what am I supposed to do with this thing when I can't control and all of it starts to spiral
1762000	1766000	And you maybe have this experience, or do you know people who do
1766000	1768000	And here's what I want to do today
1768000	1770000	I want to give us one tool
1770000	1773000	It's not the answer to everything, it doesn't solve all the anxiety
1773000	1776000	It's just one really underutilized, very accessible tool
1776000	1780000	That also requires a pretty significant amount of courage as well
1780000	1783000	It's just gonna, and just again, to make sure we reiterate
1783000	1784000	I'm not an expert
1784000	1786000	Someone told you were doing a series on anxiety
1786000	1789000	You might have thought you're like, maybe you're new and you're like, I'm not sure about Jesus
1789000	1793000	But I'll come here that and you thought, they told you I'm an expert on this
1793000	1796000	I'm not an expert, I'm not a therapist, this is not my degree
1796000	1798000	I'm a fellow traveler in this
1798000	1800000	I do a little bit of research on some stuff
1800000	1802000	I'm looking at the Bible when it comes to this sort of thing
1802000	1805000	My wife and I walk through our own anxiety, different journeys
1805000	1809000	But I do want to point to some ways of addressing anxiety today
1809000	1811000	And it's kind of a next step building on what we did last week
1811000	1813000	But I also want to tell you this, fair warning
1813000	1817000	The way we're gonna get to this one tool is a very windy road
1817000	1820000	Some of you are familiar with the way that I do this sometimes
1820000	1823000	I don't appreciate the laughter
1823000	1825000	It's fine, it's fine
1825000	1828000	But you're gonna be like, what in the world are we doing?
1828000	1831000	And then I promise I will bring it back home
1831000	1833000	But you're gonna wonder for a little bit
1833000	1836000	Because I'm gonna start in a place you may not expect
1836000	1838000	And then we're gonna get there
1838000	1842000	So I'm gonna start in ancient Near Eastern Temple construction
1844000	1846000	Because that's where you thought I was gonna go
1846000	1849000	Here's what we're gonna do, I'm totally serious
1849000	1851000	Ancient Near Eastern Temple construction
1851000	1853000	Here's what happens, it happens in six phases
1853000	1855000	This is the first of the phases, it starts like this
1855000	1857000	It's the boundary making of a particular thing
1857000	1859000	Here's where things are, here's where things are
1859000	1862000	This separates the sacred space from the not sacred space
1862000	1863000	Boundary making
1863000	1865000	Then after things are sort of put up, there's some filming
1865000	1868000	There's some filling of things and some further separation of things
1868000	1871000	There's either, sometimes there's interior spaces
1871000	1873000	Which are separated from other spaces
1873000	1875000	All this is pretty typical in the Ancient Near East
1875000	1878000	And the sixth phase of the Temple construction
1878000	1881000	Whatever it is, whatever god that's being worshipped there
1881000	1883000	You typically, it's placed within there on the sixth phase
1883000	1886000	So there's typically a six or seven day phase of this sort of creation
1886000	1888000	Sort of the creation of a temple
1888000	1892000	And on the sixth phase, this is when the statue is placed into the temple
1892000	1896000	To give people an idea of what god is going to be worshipped in that temple
1896000	1900000	Now, there are six days, there's a seven day creation
1900000	1902000	But there's a six day creation narrative in the Bible
1902000	1904000	Let me show you what happens on the sixth day of creation
1904000	1907000	So god created mankind in his own image
1907000	1909000	And the image of god, he created them male and female
1909000	1911000	He created them, this is the sixth day of creation
1911000	1913000	Now, let me pause right here for a second
1913000	1916000	What's being said by this, many scholars agree
1916000	1920000	That the whole cosmos, by looking at the creation narrative in the Bible
1920000	1922000	Which some of you are like, I'm not sure I'm buying into that yet
1922000	1924000	That's okay, don't worry about it, just stay with me on this
1924000	1927000	That the whole cosmos, the Bible will say, is god's temple
1927000	1930000	The entire thing, no temple could contain him
1930000	1932000	So the whole cosmos is his temple
1932000	1936000	And instead of a statue on the sixth phase of the creation, sixth day
1936000	1940000	It's a person, people become the representation of this god
1940000	1944000	In his temple, the whole cosmos
1944000	1947000	But the people aren't just a decoration, there's more, verse 28
1947000	1950000	God blessed them and said to them, be fruitful and increase in number
1950000	1952000	And fill the earth and subdue it some translations
1952000	1954000	And have dominion over it
1954000	1957000	Rule over the fish of the sea and the birds in the sky
1957000	1963000	And over every living creature that moves on the ground
1964000	1967000	So this, the people aren't just simply decoration
1967000	1970000	There's more there, they're blessed and they're told to multiply and have dominion
1970000	1974000	And the answer to the question, who's in charge of all of the created stuff?
1974000	1977000	The answer is, people are
1977000	1982000	People are supposed to have dominion over to subdue this creation
1982000	1986000	In fact, the only thing to which people are supposed to be subject to
1986000	1991000	Is god himself, other than that, they're supposed to be over all of these things
1991000	1994000	It's gift to Genesis chapter 2, where it gets a little bit more specific about some of this stuff
1994000	1997000	Verse 19, now the Lord God had formed out of the ground
1997000	2000000	All the wild animals and all the birds of the sky
2000000	2003000	And he brought them to the man to see what he would name them
2003000	2007000	And whatever the man called each living creature, that was its name
2007000	2011000	So the man gave names to all the livestock, the birds in the sky and all the wild animals
2011000	2013000	Notice what's happening here, there's something about this man
2013000	2018000	This created, this image of God placed into this whole cosmos
2018000	2020000	Which now has this responsibility to name everything
2020000	2022000	Again, this might be a challenge for some of you
2022000	2024000	Like I'm not sure I believe, just stay with the point of what's happening here
2024000	2026000	Because here's what's happening in naming
2026000	2030000	Naming is a very crucial thing in the Bible
2030000	2033000	Now what happens in all naming, now at least of which the Bible is this
2033000	2036000	The first thing that happens is this, there is a differentiation from a thing
2036000	2040000	So when someone names a thing, it says this is a that and I'm not that
2040000	2045000	That's not me, over there is that, I can separate that thing, whatever it is from me
2045000	2047000	That's separate from me
2047000	2051000	Those are animals, I'm not, that's animals, I'm me
2051000	2054000	Does that make sense, this is differentiation, you're different than me
2054000	2057000	That's what's being said, when we name a thing
2057000	2060000	Secondly what happens in naming is sort of an authority over
2060000	2065000	Probably better said is it implies they're taking responsibility for a thing
2065000	2069000	So the naming of a thing not only creates a differentiation, I'm not that, that's not me
2069000	2073000	But it also implies some level of authority over the thing being named
2073000	2076000	This is why if you have ever read the Hebrew scripture, the Hebrew Bible
2076000	2078000	The Old Testament, the Old Covenant
2078000	2081000	Part of what you get in that part of the Bible is you get this really interesting
2081000	2083000	Kind of conversation about names
2083000	2085000	Not least of which is the name of God
2085000	2088000	Which is kind of if you read Moses' interaction with God
2088000	2091000	In the burning bush story, perhaps you've heard of that story before
2091000	2093000	But one of the things Moses keeps asking God is cool
2093000	2095000	What do I tell people your name is as if to say
2095000	2097000	Because it's a secret thing that never gets really totally disclosed
2097000	2100000	It's so unbelievably important and sacred
2100000	2102000	In fact, to this day, you will find
2102000	2107000	Very observant Jews who will not refer to God even by the name God
2107000	2110000	They'll refer to God as this word, Hashem
2110000	2115000	Who in that word simply means the name
2115000	2119000	Like we don't even want to whisper, say the name of God
2119000	2122000	Because it's so holy, it would contain him and he is beyond containment
2122000	2126000	So the word simply to describe God is just the name
2126000	2128000	Names are crucial
2128000	2130000	Names have all sorts of relevance in the Bible
2130000	2132000	But you know this, even nicknaming has rules
2132000	2134000	Some of you have nicknames, you had a nickname growing up
2134000	2136000	Maybe you still go by that nickname
2136000	2138000	Maybe introduce yourself as a particular name
2138000	2141000	Maybe, you know, like, but there's some rules that go along with that
2141000	2142000	You know that there's rules about that
2142000	2144000	Now the first rule of nicknaming is
2144000	2146000	You don't get to choose your own nickname
2146000	2148000	You don't get to decide
2148000	2151000	Like I don't get to say, you guys just want to let you know
2151000	2153000	Now I'm going by MacGyver
2153000	2155000	Kind of rhymes with McGuire
